saved_file,marks_of_rule_1,marks_of_rule_2,marks_of_rule_3,marks_of_rule_8,marks_of_rule_12
D:\Educational\Academic\FYP Research\INTERIM\CODES\1_Repo_miner\repo_miner_input_datasets\Test\g_1\AESCrypto16507809056049.java,4.12,3.85,81.40000000000003,44.109999999999985,19.8
D:\Educational\Academic\FYP Research\INTERIM\CODES\1_Repo_miner\repo_miner_input_datasets\Test\g_1\ArgDelegationPeerImpl16507808960473.java,8.24,7.7,59.20000000000002,4.01,27.720000000000002
D:\Educational\Academic\FYP Research\INTERIM\CODES\1_Repo_miner\repo_miner_input_datasets\Test\g_1\CallHistoryActivator16507808972511.java,4.12,3.85,51.80000000000001,4.01,7.92
D:\Educational\Academic\FYP Research\INTERIM\CODES\1_Repo_miner\repo_miner_input_datasets\Test\g_1\CallHistoryQueryImpl16507808978470.java,4.12,3.85,37.0,0.0,7.92
D:\Educational\Academic\FYP Research\INTERIM\CODES\1_Repo_miner\repo_miner_input_datasets\Test\g_1\CallHistorySourceContact16507808991157.java,4.12,3.85,136.90000000000003,76.19,15.84
D:\Educational\Academic\FYP Research\INTERIM\CODES\1_Repo_miner\repo_miner_input_datasets\Test\g_1\CertificateServiceImpl16500888476964.java,57.679999999999986,53.90000000000001,196.09999999999985,240.5999999999998,51.480000000000004
D:\Educational\Academic\FYP Research\INTERIM\CODES\1_Repo_miner\repo_miner_input_datasets\Test\g_1\ClassJsonAdapterTest16500860114246.java,4.12,3.85,37.0,36.08999999999999,7.92
D:\Educational\Academic\FYP Research\INTERIM\CODES\1_Repo_miner\repo_miner_input_datasets\Test\g_1\CredentialsStorageServiceImpl16507809062759.java,24.720000000000002,23.1,170.19999999999993,60.14999999999998,23.76
D:\Educational\Academic\FYP Research\INTERIM\CODES\1_Repo_miner\repo_miner_input_datasets\Test\g_1\DeckOptions16507808749255.java,0.0,0.0,166.49999999999994,160.39999999999998,23.76
D:\Educational\Academic\FYP Research\INTERIM\CODES\1_Repo_miner\repo_miner_input_datasets\Test\g_1\DnsUtilActivator16507809076972.java,4.12,3.85,103.60000000000005,28.069999999999993,47.52
D:\Educational\Academic\FYP Research\INTERIM\CODES\1_Repo_miner\repo_miner_input_datasets\Test\g_1\FileMenu16507809295727.java,4.12,3.85,85.10000000000004,28.069999999999993,7.92
D:\Educational\Academic\FYP Research\INTERIM\CODES\1_Repo_miner\repo_miner_input_datasets\Test\g_1\GeneralDialPanel16507809258408.java,4.12,3.85,59.20000000000002,16.04,11.879999999999999
D:\Educational\Academic\FYP Research\INTERIM\CODES\1_Repo_miner\repo_miner_input_datasets\Test\g_1\GlobalShortcutActivator16507809130080.java,4.12,3.85,62.90000000000002,12.03,15.84
D:\Educational\Academic\FYP Research\INTERIM\CODES\1_Repo_miner\repo_miner_input_datasets\Test\g_1\GlobalStatusServiceImpl16507809119541.java,4.12,3.85,111.00000000000006,80.2,11.879999999999999
D:\Educational\Academic\FYP Research\INTERIM\CODES\1_Repo_miner\repo_miner_input_datasets\Test\g_1\JdbcConfigService16500888483468.java,115.36000000000004,107.79999999999995,218.29999999999978,48.11999999999998,23.76
D:\Educational\Academic\FYP Research\INTERIM\CODES\1_Repo_miner\repo_miner_input_datasets\Test\g_1\LayoutValidationTest16507808892407.java,4.12,3.85,22.2,24.059999999999995,27.720000000000002
D:\Educational\Academic\FYP Research\INTERIM\CODES\1_Repo_miner\repo_miner_input_datasets\Test\g_1\MclStorageManager16507809017370.java,12.36,11.55,636.4000000000004,561.3999999999991,178.20000000000002
D:\Educational\Academic\FYP Research\INTERIM\CODES\1_Repo_miner\repo_miner_input_datasets\Test\g_1\MetaContactGroupImpl16507809024739.java,8.24,7.7,284.8999999999996,4.01,55.440000000000005
D:\Educational\Academic\FYP Research\INTERIM\CODES\1_Repo_miner\repo_miner_input_datasets\Test\g_1\NoteInfo16507808942474.java,0.0,0.0,29.599999999999998,0.0,23.76
D:\Educational\Academic\FYP Research\INTERIM\CODES\1_Repo_miner\repo_miner_input_datasets\Test\g_1\SIPCommWindowMenuBar16507809301772.java,12.36,11.55,37.0,0.0,11.879999999999999
